# Data from Holland and Powell (1998), https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1525-1314.1998.00140.x
# Digital data obtained from Xiang and Connolly (2021), https://onlinelibrary.wiley.com/doi/full/10.1111/jmg.12626
name of phase component,,DfG,Hf,sd(Hf),S,V,a,b,c,d,e,f,g,a0,K,Tc,Smax,Vmax,v1,v2,k0,k0',v1,v2,v3,v4,d0,d1,d2,d3,d4,d5,d6,Tmin,Tmax,dv,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,Index,?End-member ,DfG,DfH,,
CaCtschermak pyroxene ,cats,-3129708,-3307030,860,138,6.356,347.6,-0.006974,-1781600,-2757.5,,,,0.0000443,1140000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,Ca�Ctschermak pyroxene ,-3129290,-3306960,0,-70
diopside ,di,-3028393,-3202760,780,142.7,6.619,314.5,0.000041,-2745900,-2020.1,,,,0.000057,1223000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,diopside ,-3027800,-3202540,0,-220
enstatite ,en,-2915730,-3090470,890,132.5,6.262,356.2,-0.00299,-596900,-3185.3,,,,0.0000505,1070000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,enstatite ,-2915530,-3090260,0,-210
ferrosilite ,fs,-2234433,-2388630,900,190.6,6.592,398.7,-0.006579,1290100,-4058,,,,0.0000632,1010000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,ferrosilite ,-2234530,-2388750,0,120
hedenbergite ,hed,-2680795,-2844160,1020,174.2,6.795,340.2,0.000812,-1047800,-2646.7,,,,0.000057,1200000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,hedenbergite ,-2680390,-2844150,0,-10
jadeite ,jd,-2849148,-3027850,1860,133.5,6.04,301.1,0.010143,-2239300,-2055.1,,,,0.0000466,1284000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,jadeite ,-2849100,-3027830,0,-20
MgCtschermak pyroxene ,mgts,-3012580,-3189320,790,131,5.9,371.4,-0.004082,-398400,-3547.1,,,,0.0000508,1144000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,Mg�Ctschermak pyroxene ,-3012120,-3188830,0,-490
pseudowollastonite ,pswo,-1544196,-1627690,530,88.2,4.008,157.8,0,-967300,-1075.4,,,,0.0000539,1050000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,pseudowollastonite ,-1543800,-1627670,0,-20
pyroxmangite ,pxmn,-1245214,-1322530,810,99.3,3.472,138.4,0.004088,-1936000,-538.9,,,,0.0000508,1250000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,pyroxmangite ,-1245180,-1322500,0,-30
rhodonite ,rhod,-1244792,-1321750,810,100.5,3.494,138.4,0.004088,-1936000,-538.9,,,,0.0000508,1250000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,rhodonite ,-1244760,-1321720,0,-30
wollastonite ,wo,-1548867,-1634060,530,82.5,3.993,159.3,0,-967300,-1075.4,,,,0.000046,795000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,wollastonite ,-1548470,-1634040,0,-20
anthophyllite ,anth,-11342800,-12069200,3380,536,26.54,1277.3,0.025825,-9704600,-9074.7,,,,0.00005,700000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,anthophyllite ,-11342220,-12068590,0,-610
cummingtonite ,cumm,-11332280,-12057480,3440,540,26.33,1277.3,0.025825,-9704600,-9074.7,,,,0.00005,700000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,cummingtonite ,-11331610,-12056790,0,-690
FeCglaucophane ,fgl,-10185890,-10889740,4750,624,26.59,1762.9,-0.118992,9423700,-20207.1,,,,0.000053,890000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,Fe�Cglaucophane ,-10186060,-10890010,0,270
FeCanthophyllite ,fanth,-8968456,-9627230,9280,725,27.87,1383.1,0.030669,-4224700,-11257.6,,,,0.00005,700000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,Fe�Canthophyllite ,-8968900,-9627760,0,530
ferroactinolite ,ftr,-9837946,-10511240,3310,705,28.28,1290,0.029991,-8447500,-8947,,,,0.0000534,760000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,ferroactinolite ,-9837330,-10511440,0,200
gedrite ,ged,-11583670,-12319430,7770,515,25.8,1307.7,0.023642,-9307400,-9799,,,,0.000048,770000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,gedrite ,-11584190,-12319880,0,450
glaucophane ,gl,-11234260,-11969470,4070,535,26.05,1717.5,-0.12107,7075000,-19272,,,,0.000053,883000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,glaucophane ,-11233990,-11969260,0,-210
grunerite ,grun,-8955916,-9613200,3440,730,27.84,1383.1,0.030669,-4224700,-11257.6,,,,0.00005,648000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,grunerite ,-8956270,-9613640,0,440
pargasite ,parg,-11988600,-12720650,2670,601,27.19,1280.2,0.022997,-12359500,-8065.8,,,,0.0000534,912000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,pargasite ,-11986810,-12719600,0,-1050
riebeckite ,rieb,-9352005,-10035240,8830,691,27.49,1746.9,-0.113572,9370300,-19468.7,,,,0.000053,890000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,riebeckite ,-9352160,-10035550,0,310
tremolite ,tr,-11582820,-12310380,2910,550,27.27,1260.2,0.00383,-11455000,-8237.6,,,,0.0000534,762000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,tremolite ,-11581420,-12309720,0,-660
tshermakite ,ts,-11809040,-12541200,2910,545,26.8,1244.8,0.024348,-11965000,-8112.1,,,,0.0000534,760000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,tshermakite ,-11807730,-12540570,0,-630
deerite ,deer,-16901550,-18347650,6920,1650,55.74,3164.4,-0.027883,-5039100,-26721,,,,0.00005,630000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,deerite ,-16902080,-18348400,0,750
FeCcarpholite ,fcar,-4069135,-4413200,1120,255,10.69,674.8,-0.010092,-715800,-6554.5,,,,0.00005,525000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,Fe�Ccarpholite ,-4080260,-4433850,0,20650
FeCsapphirine ,fspr,-9275034,-9835510,12150,551,20.391,1257.8,-0.022171,-1664000,-11348.4,,,,0.000049,1200000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,Fe�Csapphirine ,-9273620,-9834000,0,-1510
MgCcarpholite ,mcar,-4422148,-4781240,890,210,10.59,667.8,-0.012559,-1167100,-6440,,,,0.00005,525000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,Mg�Ccarpholite ,-4430870,-4794700,0,13460
sapphirine(221) ,spr4,-10422090,-11019620,3330,443,19.905,1160.3,-0.024324,-7706600,-8974.2,,,,0.000049,1200000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,sapphirine(221) ,-10415770,-11014080,0,-5540
